RunDate,RunDateTime,RunStatus,ErrorCount,WarningCount,WideRowCount,FuelRecordCount,LatestWideFile,HistoryWideFile,CreateDailyArchiveFile,DailyWideFile
2026-07-03,2026-07-03 08:17:13,PASSED_WITH_WARNINGS,0,2,214,573,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-04,2026-07-04 08:12:39,PASSED_WITH_WARNINGS,0,2,214,573,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-05,2026-07-05 08:13:07,PASSED_WITH_WARNINGS,0,2,214,573,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-06,2026-07-06 08:13:13,PASSED_WITH_WARNINGS,0,2,214,573,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-07,2026-07-07 08:13:27,PASSED_WITH_WARNINGS,0,2,214,572,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-08,2026-07-08 08:14:16,PASSED_WITH_WARNINGS,0,2,214,572,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-09,2026-07-09 08:10:36,PASSED_WITH_WARNINGS,0,2,214,572,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-10,2026-07-10 08:13:04,PASSED_WITH_WARNINGS,0,2,214,572,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-11,2026-07-11 08:10:58,PASSED_WITH_WARNINGS,0,2,214,572,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-12,2026-07-12 08:03:52,PASSED_WITH_WARNINGS,0,2,214,572,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-13,2026-07-13 08:04:25,PASSED_WITH_WARNINGS,0,2,214,572,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-14,2026-07-14 08:04:09,PASSED_WITH_WARNINGS,0,2,214,571,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
2026-07-15,2026-07-15 08:05:57,PASSED_WITH_WARNINGS,0,2,214,572,data/Daily Fuel Price Data/myfuelnt_latest_wide.csv,data/Daily Fuel Price Data/myfuelnt_daily_wide_history.csv,False,
