SnapshotDate,SnapshotDateTime,OutletName,Address,Suburb,Postcode,State,RegionID,Longitude,Latitude,OutletBrandCode,FuelBrandCode,OutletID,OutletIdentifier,IsOutletActive,HasValidCoordinates,Diesel_Today_CPL,Diesel_Today_DollarPerLitre,PremiumDiesel_Today_CPL,PremiumDiesel_Today_DollarPerLitre,Biodiesel20_Today_CPL,Biodiesel20_Today_DollarPerLitre,Unleaded91_Today_CPL,Unleaded91_Today_DollarPerLitre,LowAromaticFuel_Today_CPL,LowAromaticFuel_Today_DollarPerLitre,Premium95_Today_CPL,Premium95_Today_DollarPerLitre,Premium98_Today_CPL,Premium98_Today_DollarPerLitre,E10_Today_CPL,E10_Today_DollarPerLitre,E85_Today_CPL,E85_Today_DollarPerLitre,LPG_Today_CPL,LPG_Today_DollarPerLitre,EquivalentUnleaded_Today_CPL,EquivalentUnleaded_Today_DollarPerLitre,AllDiesel_Today_CPL,AllDiesel_Today_DollarPerLitre,Diesel_Tomorrow_CPL,Diesel_Tomorrow_DollarPerLitre,PremiumDiesel_Tomorrow_CPL,PremiumDiesel_Tomorrow_DollarPerLitre,Biodiesel20_Tomorrow_CPL,Biodiesel20_Tomorrow_DollarPerLitre,Unleaded91_Tomorrow_CPL,Unleaded91_Tomorrow_DollarPerLitre,LowAromaticFuel_Tomorrow_CPL,LowAromaticFuel_Tomorrow_DollarPerLitre,Premium95_Tomorrow_CPL,Premium95_Tomorrow_DollarPerLitre,Premium98_Tomorrow_CPL,Premium98_Tomorrow_DollarPerLitre,E10_Tomorrow_CPL,E10_Tomorrow_DollarPerLitre,E85_Tomorrow_CPL,E85_Tomorrow_DollarPerLitre,LPG_Tomorrow_CPL,LPG_Tomorrow_DollarPerLitre,EquivalentUnleaded_Tomorrow_CPL,EquivalentUnleaded_Tomorrow_DollarPerLitre,AllDiesel_Tomorrow_CPL,AllDiesel_Tomorrow_DollarPerLitre,Diesel_IsAvailableToday,Diesel_IsAvailableTomorrow,PremiumDiesel_IsAvailableToday,PremiumDiesel_IsAvailableTomorrow,Biodiesel20_IsAvailableToday,Biodiesel20_IsAvailableTomorrow,Unleaded91_IsAvailableToday,Unleaded91_IsAvailableTomorrow,LowAromaticFuel_IsAvailableToday,LowAromaticFuel_IsAvailableTomorrow,Premium95_IsAvailableToday,Premium95_IsAvailableTomorrow,Premium98_IsAvailableToday,Premium98_IsAvailableTomorrow,E10_IsAvailableToday,E10_IsAvailableTomorrow,E85_IsAvailableToday,E85_IsAvailableTomorrow,LPG_IsAvailableToday,LPG_IsAvailableTomorrow,EquivalentUnleaded_IsAvailableToday,EquivalentUnleaded_IsAvailableTomorrow,AllDiesel_IsAvailableToday,AllDiesel_IsAvailableTomorrow,ListedFuelCount,AvailableFuelCount,FuelCodesListed,FuelCodesAvailable,CheapestFuelCode,CheapestFuelType,CheapestTodayPriceCPL,CheapestTodayPriceDollarPerLitre,Diesel_RawToday_CPL,Diesel_RawTomorrow_CPL,PremiumDiesel_RawToday_CPL,PremiumDiesel_RawTomorrow_CPL,Biodiesel20_RawToday_CPL,Biodiesel20_RawTomorrow_CPL,Unleaded91_RawToday_CPL,Unleaded91_RawTomorrow_CPL,LowAromaticFuel_RawToday_CPL,LowAromaticFuel_RawTomorrow_CPL,Premium95_RawToday_CPL,Premium95_RawTomorrow_CPL,Premium98_RawToday_CPL,Premium98_RawTomorrow_CPL,E10_RawToday_CPL,E10_RawTomorrow_CPL,E85_RawToday_CPL,E85_RawTomorrow_CPL,LPG_RawToday_CPL,LPG_RawTomorrow_CPL,EquivalentUnleaded_RawToday_CPL,EquivalentUnleaded_RawTomorrow_CPL,AllDiesel_RawToday_CPL,AllDiesel_RawTomorrow_CPL,IsNTFleetOutlet,OutletWebsite,DataQualityStatus,DataQualityNotes,SourceURL,SourceMethod
2026-07-27,2026-07-27 07:45:40,UNITED HOLTZE PIEFACE,905 Stuart Highway,Holtze,0832,NT,2,130.971118,-12.458593,UN,UN,82,08320082,True,True,232.9,2.329,,,,,194.9,1.949,,,210.9,2.109,239.9,2.399,,,,,,,,,,,232.9,2.329,,,,,194.9,1.949,,,210.9,2.109,239.9,2.399,,,,,,,,,,,True,True,,,,,True,True,,,True,True,True,True,,,,,,,,,,,4,4,"DL, P95, P98, U91","DL, P95, P98, U91",U91,Unleaded 91,194.9,1.949,232.9,232.9,,,,,194.9,194.9,,,210.9,210.9,239.9,239.9,,,,,,,,,,,False,https://www.unitedpetroleum.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-07-27,2026-07-27 07:45:40,S24 Howard Springs,150 Whitewood Road,Howard Springs,0835,NT,2,131.031436,-12.49654,OR,OR,79,08350079,True,True,,,237.9,2.379,,,199.9,1.999,,,217.4,2.174,,,,,,,,,,,,,,,237.9,2.379,,,199.9,1.999,,,217.4,2.174,,,,,,,,,,,,,,,True,True,,,True,True,,,True,True,,,,,,,,,,,,,3,3,"P95, PD, U91","P95, PD, U91",U91,Unleaded 91,199.9,1.999,,,237.9,237.9,,,199.9,199.9,,,217.4,217.4,,,,,,,,,,,,,False,https://otr.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-07-27,2026-07-27 07:45:40,S24 Humpty Doo,"Lot 2, 600 Arnhem Highway",Humpty Doo,0836,NT,2,131.127682,-12.578209,OR,OR,87,08360087,True,True,,,237.9,2.379,,,199.9,1.999,,,217.4,2.174,226.9,2.269,,,,,,,,,,,,,237.9,2.379,,,199.9,1.999,,,217.4,2.174,226.9,2.269,,,,,,,,,,,,,True,True,,,True,True,,,True,True,True,True,,,,,,,,,,,4,4,"P95, P98, PD, U91","P95, P98, PD, U91",U91,Unleaded 91,199.9,1.999,,,237.9,237.9,,,199.9,199.9,,,217.4,217.4,226.9,226.9,,,,,,,,,,,False,https://www.otr.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-07-27,2026-07-27 07:45:40,Independent Imanpa General Store,"6 Mumu Street, Imanpa",Imanpa Community,0872,NT,4,132.571464,-25.128982,IN,IN,231,08720231,True,True,342.0,3.42,,,,,,,,,,,,,,,,,,,,,,,342.0,3.42,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,1,1,DL,DL,DL,Diesel,342.0,3.42,342.0,342.0,,,,,,,,,,,,,,,,,,,,,,,False,,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-07-27,2026-07-27 07:45:40,Ausfuel Jabiru,1 Lakeside Drive,Jabiru,0886,NT,1,132.834532,-12.670233,AF,AF,114,08860114,True,True,263.5,2.635,,,,,,,229.8,2.298,241.3,2.4130000000000003,303.3,3.033,,,,,,,,,,,263.5,2.635,,,,,,,229.8,2.298,241.3,2.4130000000000003,303.3,3.033,,,,,,,,,,,True,True,,,,,,,True,True,True,True,True,True,,,,,,,,,,,4,4,"DL, LAF, P95, P98","DL, LAF, P95, P98",LAF,Low Aromatic Fuel,229.8,2.298,263.5,263.5,,,,,,,229.8,229.8,241.3,241.3,303.3,303.3,,,,,,,,,,,False,https://www.bp.com/en_au/australia/home.html,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-07-27,2026-07-27 07:45:40,S24 Jingili,231 McMillans Road,Jingili,0810,NT,3,130.87797,-12.394744,OR,OR,88,08100088,True,True,,,236.9,2.369,,,198.9,1.989,,,216.4,2.164,,,,,,,,,,,,,,,236.9,2.369,,,198.9,1.989,,,216.4,2.164,,,,,,,,,,,,,,,True,True,,,True,True,,,True,True,,,,,,,,,,,,,3,3,"P95, PD, U91","P95, PD, U91",U91,Unleaded 91,198.9,1.989,,,236.9,236.9,,,198.9,198.9,,,216.4,216.4,,,,,,,,,,,,,False,https://www.otr.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-07-27,2026-07-27 07:45:40,SHELL REDDY EXPRESS KATHERINE,30 KATHERINE TERRACE,KATHERINE,0850,NT,6,132.262743,-14.46551,C3,C3,38,08500038,True,True,231.9,2.319,,,,,,,198.9,1.989,216.4,2.164,,,,,,,,,,,,,231.9,2.319,,,,,,,198.9,1.989,216.4,2.164,,,,,,,,,,,,,True,True,,,,,,,True,True,True,True,,,,,,,,,,,,,3,3,"DL, LAF, P95","DL, LAF, P95",LAF,Low Aromatic Fuel,198.9,1.989,231.9,231.9,,,,,,,198.9,198.9,216.4,216.4,,,,,,,,,,,,,False,https://www.colesexpress.com.au/,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-07-27,2026-07-27 07:45:40,UNITED KATHERINE DEPOT,4A Emungalan Road,KATHERINE,0850,NT,6,132.248104,-14.450602,UN,UN,67,08500067,True,True,219.5,2.195,,,,,,,187.9,1.879,203.9,2.039,,,,,,,,,,,,,219.5,2.195,,,,,,,187.9,1.879,203.9,2.039,,,,,,,,,,,,,True,True,,,,,,,True,True,True,True,,,,,,,,,,,,,3,3,"DL, LAF, P95","DL, LAF, P95",LAF,Low Aromatic Fuel,187.9,1.879,219.5,219.5,,,,,,,187.9,187.9,203.9,203.9,,,,,,,,,,,,,False,https://www.unitedpetroleum.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-07-27,2026-07-27 07:45:40,UNITED KATHERINE SOUTH,440 Victoria Hwy,KATHERINE SOUTH,0850,NT,6,132.2575,-14.485745,UN,UN,72,08500072,True,True,228.9,2.289,,,,,,,193.9,1.939,209.9,2.099,,,,,,,,,,,,,228.9,2.289,,,,,,,193.9,1.939,209.9,2.099,,,,,,,,,,,,,True,True,,,,,,,True,True,True,True,,,,,,,,,,,,,3,3,"DL, LAF, P95","DL, LAF, P95",LAF,Low Aromatic Fuel,193.9,1.939,228.9,228.9,,,,,,,193.9,193.9,209.9,209.9,,,,,,,,,,,,,False,https://www.unitedpetroleum.com.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
2026-07-27,2026-07-27 07:45:40,Kalkaringi Store,ENTRY BY PERMIT ONLY. 66 Buntine Highway,Kalkarindji,0852,NT,6,130.833808,-17.447503,PM,PM,5,08520005,True,True,307.0,3.07,,,,,,,278.0,2.78,,,,,,,,,,,,,,,307.0,3.07,,,,,,,278.0,2.78,,,,,,,,,,,,,,,True,True,,,,,,,True,True,,,,,,,,,,,,,,,2,2,"DL, LAF","DL, LAF",LAF,Low Aromatic Fuel,278.0,2.78,307.0,307.0,,,,,,,278.0,278.0,,,,,,,,,,,,,,,False,https://www.alpa.asn.au,OK,OK,https://myfuelnt.nt.gov.au/Home/Results?Location=3&FuelCode=ALLD,serverJson:root.FuelOutlet
