Date,Week,Year,Fuel,State,Region,Geography_Type,Price_CPL,Source_Name,Page_URL
2026-04-26,26 Apr,2026,Diesel,NSW/ACT,Canberra,Capital City,277.0,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-05-03,3 May,2026,Diesel,NSW/ACT,Canberra,Capital City,268.5,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-05-10,10 May,2026,Diesel,NSW/ACT,Canberra,Capital City,265.3,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-05-17,17 May,2026,Diesel,NSW/ACT,Canberra,Capital City,260.1,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-05-24,24 May,2026,Diesel,NSW/ACT,Canberra,Capital City,258.3,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-05-31,31 May,2026,Diesel,NSW/ACT,Canberra,Capital City,248.1,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-06-07,7 Jun,2026,Diesel,NSW/ACT,Canberra,Capital City,221.8,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-06-14,14 Jun,2026,Diesel,NSW/ACT,Canberra,Capital City,214.4,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-06-21,21 Jun,2026,Diesel,NSW/ACT,Canberra,Capital City,203.0,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-06-28,28 Jun,2026,Diesel,NSW/ACT,Canberra,Capital City,196.2,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
2026-07-05,5 Jul,2026,Diesel,NSW/ACT,Canberra,Capital City,193.4,Canberra,https://aip.com.au/pricing/diesel/new-south-wales-act-retail-diesel-prices/canberra/
